date,latitude,longitude,sunrise_utc,sunset_utc,sunrise_ist,sunset_ist,day_length_seconds,fetched_at_ist
2020-01-10,19.076,72.8777,2020-01-10T01:42:47+00:00,2020-01-10T12:48:39+00:00,2020-01-10T07:12:47+05:30,2020-01-10T18:18:39+05:30,39952,2026-03-04T01:45:23.028651+05:30
2020-01-11,19.076,72.8777,2020-01-11T01:42:57+00:00,2020-01-11T12:49:17+00:00,2020-01-11T07:12:57+05:30,2020-01-11T18:19:17+05:30,39980,2026-03-04T01:45:23.438855+05:30
2020-01-12,19.076,72.8777,2020-01-12T01:43:06+00:00,2020-01-12T12:49:55+00:00,2020-01-12T07:13:06+05:30,2020-01-12T18:19:55+05:30,40009,2026-03-04T01:45:23.842688+05:30
2020-01-13,19.076,72.8777,2020-01-13T01:43:14+00:00,2020-01-13T12:50:34+00:00,2020-01-13T07:13:14+05:30,2020-01-13T18:20:34+05:30,40040,2026-03-04T01:45:24.251240+05:30
2020-01-14,19.076,72.8777,2020-01-14T01:43:20+00:00,2020-01-14T12:51:13+00:00,2020-01-14T07:13:20+05:30,2020-01-14T18:21:13+05:30,40073,2026-03-04T01:45:24.666485+05:30
2020-01-15,19.076,72.8777,2020-01-15T01:43:25+00:00,2020-01-15T12:51:51+00:00,2020-01-15T07:13:25+05:30,2020-01-15T18:21:51+05:30,40106,2026-03-04T01:45:25.076239+05:30
2020-01-16,19.076,72.8777,2020-01-16T01:43:29+00:00,2020-01-16T12:52:30+00:00,2020-01-16T07:13:29+05:30,2020-01-16T18:22:30+05:30,40141,2026-03-04T01:45:25.483786+05:30
2020-01-17,19.076,72.8777,2020-01-17T01:43:32+00:00,2020-01-17T12:53:08+00:00,2020-01-17T07:13:32+05:30,2020-01-17T18:23:08+05:30,40176,2026-03-04T01:45:25.893261+05:30
2020-01-18,19.076,72.8777,2020-01-18T01:43:33+00:00,2020-01-18T12:53:46+00:00,2020-01-18T07:13:33+05:30,2020-01-18T18:23:46+05:30,40213,2026-03-04T01:45:26.301220+05:30
2020-01-19,19.076,72.8777,2020-01-19T01:43:33+00:00,2020-01-19T12:54:24+00:00,2020-01-19T07:13:33+05:30,2020-01-19T18:24:24+05:30,40251,2026-03-04T01:45:26.729775+05:30
2020-01-20,19.076,72.8777,2020-01-20T01:43:32+00:00,2020-01-20T12:55:02+00:00,2020-01-20T07:13:32+05:30,2020-01-20T18:25:02+05:30,40290,2026-03-04T01:45:27.132379+05:30
2020-01-21,19.076,72.8777,2020-01-21T01:43:30+00:00,2020-01-21T12:55:40+00:00,2020-01-21T07:13:30+05:30,2020-01-21T18:25:40+05:30,40330,2026-03-04T01:45:27.545880+05:30
2020-01-22,19.076,72.8777,2020-01-22T01:43:26+00:00,2020-01-22T12:56:17+00:00,2020-01-22T07:13:26+05:30,2020-01-22T18:26:17+05:30,40371,2026-03-04T01:45:27.959676+05:30
2020-01-23,19.076,72.8777,2020-01-23T01:43:21+00:00,2020-01-23T12:56:55+00:00,2020-01-23T07:13:21+05:30,2020-01-23T18:26:55+05:30,40414,2026-03-04T01:45:28.369961+05:30
2020-01-24,19.076,72.8777,2020-01-24T01:43:15+00:00,2020-01-24T12:57:32+00:00,2020-01-24T07:13:15+05:30,2020-01-24T18:27:32+05:30,40457,2026-03-04T01:45:28.774248+05:30
2020-01-25,19.076,72.8777,2020-01-25T01:43:07+00:00,2020-01-25T12:58:08+00:00,2020-01-25T07:13:07+05:30,2020-01-25T18:28:08+05:30,40501,2026-03-04T01:45:29.185695+05:30
2020-01-26,19.076,72.8777,2020-01-26T01:42:58+00:00,2020-01-26T12:58:44+00:00,2020-01-26T07:12:58+05:30,2020-01-26T18:28:44+05:30,40546,2026-03-04T01:45:29.597545+05:30
2020-01-27,19.076,72.8777,2020-01-27T01:42:48+00:00,2020-01-27T12:59:20+00:00,2020-01-27T07:12:48+05:30,2020-01-27T18:29:20+05:30,40592,2026-03-04T01:45:30.005607+05:30
2020-01-28,19.076,72.8777,2020-01-28T01:42:37+00:00,2020-01-28T12:59:56+00:00,2020-01-28T07:12:37+05:30,2020-01-28T18:29:56+05:30,40639,2026-03-04T01:45:30.417609+05:30
2020-01-29,19.076,72.8777,2020-01-29T01:42:24+00:00,2020-01-29T13:00:31+00:00,2020-01-29T07:12:24+05:30,2020-01-29T18:30:31+05:30,40687,2026-03-04T01:45:30.826804+05:30
2020-01-30,19.076,72.8777,2020-01-30T01:42:10+00:00,2020-01-30T13:01:06+00:00,2020-01-30T07:12:10+05:30,2020-01-30T18:31:06+05:30,40736,2026-03-04T01:45:31.237449+05:30
2020-01-31,19.076,72.8777,2020-01-31T01:41:55+00:00,2020-01-31T13:01:41+00:00,2020-01-31T07:11:55+05:30,2020-01-31T18:31:41+05:30,40786,2026-03-04T01:45:31.652858+05:30
2020-02-01,19.076,72.8777,2020-02-01T01:41:39+00:00,2020-02-01T13:02:15+00:00,2020-02-01T07:11:39+05:30,2020-02-01T18:32:15+05:30,40836,2026-03-04T01:45:32.058329+05:30
2020-02-02,19.076,72.8777,2020-02-02T01:41:22+00:00,2020-02-02T13:02:48+00:00,2020-02-02T07:11:22+05:30,2020-02-02T18:32:48+05:30,40886,2026-03-04T01:45:32.475457+05:30
2020-02-03,19.076,72.8777,2020-02-03T01:41:03+00:00,2020-02-03T13:03:21+00:00,2020-02-03T07:11:03+05:30,2020-02-03T18:33:21+05:30,40938,2026-03-04T01:45:32.885152+05:30
2020-02-04,19.076,72.8777,2020-02-04T01:40:43+00:00,2020-02-04T13:03:54+00:00,2020-02-04T07:10:43+05:30,2020-02-04T18:33:54+05:30,40991,2026-03-04T01:45:33.295461+05:30
2020-02-05,19.076,72.8777,2020-02-05T01:40:22+00:00,2020-02-05T13:04:26+00:00,2020-02-05T07:10:22+05:30,2020-02-05T18:34:26+05:30,41044,2026-03-04T01:45:33.702604+05:30
2020-02-06,19.076,72.8777,2020-02-06T01:40:00+00:00,2020-02-06T13:04:58+00:00,2020-02-06T07:10:00+05:30,2020-02-06T18:34:58+05:30,41098,2026-03-04T01:45:34.105007+05:30
2020-02-07,19.076,72.8777,2020-02-07T01:39:37+00:00,2020-02-07T13:05:29+00:00,2020-02-07T07:09:37+05:30,2020-02-07T18:35:29+05:30,41152,2026-03-04T01:45:34.510578+05:30
2020-02-08,19.076,72.8777,2020-02-08T01:39:13+00:00,2020-02-08T13:06:00+00:00,2020-02-08T07:09:13+05:30,2020-02-08T18:36:00+05:30,41207,2026-03-04T01:45:34.916696+05:30
2020-02-09,19.076,72.8777,2020-02-09T01:38:47+00:00,2020-02-09T13:06:30+00:00,2020-02-09T07:08:47+05:30,2020-02-09T18:36:30+05:30,41263,2026-03-04T01:45:35.325269+05:30
2020-02-10,19.076,72.8777,2020-02-10T01:38:21+00:00,2020-02-10T13:07:00+00:00,2020-02-10T07:08:21+05:30,2020-02-10T18:37:00+05:30,41319,2026-03-04T01:45:35.730801+05:30
2020-02-11,19.076,72.8777,2020-02-11T01:37:53+00:00,2020-02-11T13:07:29+00:00,2020-02-11T07:07:53+05:30,2020-02-11T18:37:29+05:30,41376,2026-03-04T01:45:36.133944+05:30
2020-02-12,19.076,72.8777,2020-02-12T01:37:25+00:00,2020-02-12T13:07:58+00:00,2020-02-12T07:07:25+05:30,2020-02-12T18:37:58+05:30,41433,2026-03-04T01:45:36.548091+05:30
2020-02-13,19.076,72.8777,2020-02-13T01:36:55+00:00,2020-02-13T13:08:26+00:00,2020-02-13T07:06:55+05:30,2020-02-13T18:38:26+05:30,41491,2026-03-04T01:45:36.955309+05:30
2020-02-14,19.076,72.8777,2020-02-14T01:36:25+00:00,2020-02-14T13:08:54+00:00,2020-02-14T07:06:25+05:30,2020-02-14T18:38:54+05:30,41549,2026-03-04T01:45:37.366391+05:30
2020-02-15,19.076,72.8777,2020-02-15T01:35:53+00:00,2020-02-15T13:09:21+00:00,2020-02-15T07:05:53+05:30,2020-02-15T18:39:21+05:30,41608,2026-03-04T01:45:37.774991+05:30
2020-02-16,19.076,72.8777,2020-02-16T01:35:21+00:00,2020-02-16T13:09:48+00:00,2020-02-16T07:05:21+05:30,2020-02-16T18:39:48+05:30,41667,2026-03-04T01:45:38.182584+05:30
2020-02-17,19.076,72.8777,2020-02-17T01:34:47+00:00,2020-02-17T13:10:14+00:00,2020-02-17T07:04:47+05:30,2020-02-17T18:40:14+05:30,41727,2026-03-04T01:45:38.593871+05:30
2020-02-18,19.076,72.8777,2020-02-18T01:34:13+00:00,2020-02-18T13:10:40+00:00,2020-02-18T07:04:13+05:30,2020-02-18T18:40:40+05:30,41787,2026-03-04T01:45:38.999097+05:30
2020-02-19,19.076,72.8777,2020-02-19T01:33:38+00:00,2020-02-19T13:11:05+00:00,2020-02-19T07:03:38+05:30,2020-02-19T18:41:05+05:30,41847,2026-03-04T01:45:39.410387+05:30
2020-02-20,19.076,72.8777,2020-02-20T01:33:01+00:00,2020-02-20T13:11:29+00:00,2020-02-20T07:03:01+05:30,2020-02-20T18:41:29+05:30,41908,2026-03-04T01:45:39.820381+05:30
2020-02-21,19.076,72.8777,2020-02-21T01:32:25+00:00,2020-02-21T13:11:54+00:00,2020-02-21T07:02:25+05:30,2020-02-21T18:41:54+05:30,41969,2026-03-04T01:45:40.236615+05:30
2020-02-22,19.076,72.8777,2020-02-22T01:31:47+00:00,2020-02-22T13:12:18+00:00,2020-02-22T07:01:47+05:30,2020-02-22T18:42:18+05:30,42031,2026-03-04T01:45:40.654959+05:30
2020-02-23,19.076,72.8777,2020-02-23T01:31:08+00:00,2020-02-23T13:12:41+00:00,2020-02-23T07:01:08+05:30,2020-02-23T18:42:41+05:30,42093,2026-03-04T01:45:41.063870+05:30
2020-02-24,19.076,72.8777,2020-02-24T01:30:29+00:00,2020-02-24T13:13:04+00:00,2020-02-24T07:00:29+05:30,2020-02-24T18:43:04+05:30,42155,2026-03-04T01:45:41.475179+05:30
2020-02-25,19.076,72.8777,2020-02-25T01:29:49+00:00,2020-02-25T13:13:26+00:00,2020-02-25T06:59:49+05:30,2020-02-25T18:43:26+05:30,42217,2026-03-04T01:45:41.882066+05:30
2020-02-26,19.076,72.8777,2020-02-26T01:29:08+00:00,2020-02-26T13:13:48+00:00,2020-02-26T06:59:08+05:30,2020-02-26T18:43:48+05:30,42280,2026-03-04T01:45:42.286783+05:30
2020-02-27,19.076,72.8777,2020-02-27T01:28:27+00:00,2020-02-27T13:14:09+00:00,2020-02-27T06:58:27+05:30,2020-02-27T18:44:09+05:30,42342,2026-03-04T01:45:42.696717+05:30
2020-02-28,19.076,72.8777,2020-02-28T01:27:44+00:00,2020-02-28T13:14:31+00:00,2020-02-28T06:57:44+05:30,2020-02-28T18:44:31+05:30,42407,2026-03-04T01:45:43.110681+05:30
2020-02-29,19.076,72.8777,2020-02-29T01:27:02+00:00,2020-02-29T13:14:51+00:00,2020-02-29T06:57:02+05:30,2020-02-29T18:44:51+05:30,42469,2026-03-04T01:45:43.528482+05:30
2020-03-01,19.076,72.8777,2020-03-01T01:26:18+00:00,2020-03-01T13:15:11+00:00,2020-03-01T06:56:18+05:30,2020-03-01T18:45:11+05:30,42533,2026-03-04T01:45:43.938895+05:30
2020-03-02,19.076,72.8777,2020-03-02T01:25:34+00:00,2020-03-02T13:15:31+00:00,2020-03-02T06:55:34+05:30,2020-03-02T18:45:31+05:30,42597,2026-03-04T01:45:44.350799+05:30
2020-03-03,19.076,72.8777,2020-03-03T01:24:49+00:00,2020-03-03T13:15:51+00:00,2020-03-03T06:54:49+05:30,2020-03-03T18:45:51+05:30,42662,2026-03-04T01:45:44.757693+05:30
2020-03-04,19.076,72.8777,2020-03-04T01:24:04+00:00,2020-03-04T13:16:10+00:00,2020-03-04T06:54:04+05:30,2020-03-04T18:46:10+05:30,42726,2026-03-04T01:45:45.165892+05:30
2020-03-05,19.076,72.8777,2020-03-05T01:23:19+00:00,2020-03-05T13:16:29+00:00,2020-03-05T06:53:19+05:30,2020-03-05T18:46:29+05:30,42790,2026-03-04T01:45:45.577531+05:30
2020-03-06,19.076,72.8777,2020-03-06T01:22:32+00:00,2020-03-06T13:16:47+00:00,2020-03-06T06:52:32+05:30,2020-03-06T18:46:47+05:30,42855,2026-03-04T01:45:45.987139+05:30
2020-03-07,19.076,72.8777,2020-03-07T01:21:46+00:00,2020-03-07T13:17:05+00:00,2020-03-07T06:51:46+05:30,2020-03-07T18:47:05+05:30,42919,2026-03-04T01:45:46.485665+05:30
2020-03-08,19.076,72.8777,2020-03-08T01:20:59+00:00,2020-03-08T13:17:23+00:00,2020-03-08T06:50:59+05:30,2020-03-08T18:47:23+05:30,42984,2026-03-04T01:45:46.923024+05:30
2020-03-09,19.076,72.8777,2020-03-09T01:20:11+00:00,2020-03-09T13:17:40+00:00,2020-03-09T06:50:11+05:30,2020-03-09T18:47:40+05:30,43049,2026-03-04T01:45:47.340522+05:30
2020-03-10,19.076,72.8777,2020-03-10T01:19:23+00:00,2020-03-10T13:17:57+00:00,2020-03-10T06:49:23+05:30,2020-03-10T18:47:57+05:30,43114,2026-03-04T01:45:47.752822+05:30
2020-03-11,19.076,72.8777,2020-03-11T01:18:35+00:00,2020-03-11T13:18:14+00:00,2020-03-11T06:48:35+05:30,2020-03-11T18:48:14+05:30,43179,2026-03-04T01:45:48.202227+05:30
2020-03-12,19.076,72.8777,2020-03-12T01:17:46+00:00,2020-03-12T13:18:31+00:00,2020-03-12T06:47:46+05:30,2020-03-12T18:48:31+05:30,43245,2026-03-04T01:45:48.615713+05:30
2020-03-13,19.076,72.8777,2020-03-13T01:16:57+00:00,2020-03-13T13:18:47+00:00,2020-03-13T06:46:57+05:30,2020-03-13T18:48:47+05:30,43310,2026-03-04T01:45:49.018629+05:30
2020-03-14,19.076,72.8777,2020-03-14T01:16:08+00:00,2020-03-14T13:19:03+00:00,2020-03-14T06:46:08+05:30,2020-03-14T18:49:03+05:30,43375,2026-03-04T01:45:49.426727+05:30
2020-03-15,19.076,72.8777,2020-03-15T01:15:18+00:00,2020-03-15T13:19:19+00:00,2020-03-15T06:45:18+05:30,2020-03-15T18:49:19+05:30,43441,2026-03-04T01:45:49.832318+05:30
2020-03-16,19.076,72.8777,2020-03-16T01:14:29+00:00,2020-03-16T13:19:35+00:00,2020-03-16T06:44:29+05:30,2020-03-16T18:49:35+05:30,43506,2026-03-04T01:45:50.245752+05:30
2020-03-17,19.076,72.8777,2020-03-17T01:13:39+00:00,2020-03-17T13:19:51+00:00,2020-03-17T06:43:39+05:30,2020-03-17T18:49:51+05:30,43572,2026-03-04T01:45:50.652639+05:30
2020-03-18,19.076,72.8777,2020-03-18T01:12:48+00:00,2020-03-18T13:20:06+00:00,2020-03-18T06:42:48+05:30,2020-03-18T18:50:06+05:30,43638,2026-03-04T01:45:51.072545+05:30
2020-03-19,19.076,72.8777,2020-03-19T01:11:58+00:00,2020-03-19T13:20:21+00:00,2020-03-19T06:41:58+05:30,2020-03-19T18:50:21+05:30,43703,2026-03-04T01:45:51.536602+05:30
2020-03-20,19.076,72.8777,2020-03-20T01:11:08+00:00,2020-03-20T13:20:36+00:00,2020-03-20T06:41:08+05:30,2020-03-20T18:50:36+05:30,43768,2026-03-04T01:45:51.956402+05:30
2020-03-21,19.076,72.8777,2020-03-21T01:10:17+00:00,2020-03-21T13:20:51+00:00,2020-03-21T06:40:17+05:30,2020-03-21T18:50:51+05:30,43834,2026-03-04T01:45:52.372337+05:30
2020-03-22,19.076,72.8777,2020-03-22T01:09:26+00:00,2020-03-22T13:21:06+00:00,2020-03-22T06:39:26+05:30,2020-03-22T18:51:06+05:30,43900,2026-03-04T01:45:52.779730+05:30
2020-03-23,19.076,72.8777,2020-03-23T01:08:36+00:00,2020-03-23T13:21:21+00:00,2020-03-23T06:38:36+05:30,2020-03-23T18:51:21+05:30,43965,2026-03-04T01:45:53.188838+05:30
2020-03-24,19.076,72.8777,2020-03-24T01:07:45+00:00,2020-03-24T13:21:36+00:00,2020-03-24T06:37:45+05:30,2020-03-24T18:51:36+05:30,44031,2026-03-04T01:45:53.599739+05:30
2020-03-25,19.076,72.8777,2020-03-25T01:06:54+00:00,2020-03-25T13:21:50+00:00,2020-03-25T06:36:54+05:30,2020-03-25T18:51:50+05:30,44096,2026-03-04T01:45:54.005817+05:30
2020-03-26,19.076,72.8777,2020-03-26T01:06:03+00:00,2020-03-26T13:22:05+00:00,2020-03-26T06:36:03+05:30,2020-03-26T18:52:05+05:30,44162,2026-03-04T01:45:54.418503+05:30
2020-03-27,19.076,72.8777,2020-03-27T01:05:12+00:00,2020-03-27T13:22:19+00:00,2020-03-27T06:35:12+05:30,2020-03-27T18:52:19+05:30,44227,2026-03-04T01:45:54.821691+05:30
2020-03-28,19.076,72.8777,2020-03-28T01:04:22+00:00,2020-03-28T13:22:34+00:00,2020-03-28T06:34:22+05:30,2020-03-28T18:52:34+05:30,44292,2026-03-04T01:45:55.232052+05:30
2020-03-29,19.076,72.8777,2020-03-29T01:03:31+00:00,2020-03-29T13:22:48+00:00,2020-03-29T06:33:31+05:30,2020-03-29T18:52:48+05:30,44357,2026-03-04T01:45:55.656903+05:30
2020-03-30,19.076,72.8777,2020-03-30T01:02:40+00:00,2020-03-30T13:23:03+00:00,2020-03-30T06:32:40+05:30,2020-03-30T18:53:03+05:30,44423,2026-03-04T01:45:56.061665+05:30
2020-03-31,19.076,72.8777,2020-03-31T01:01:50+00:00,2020-03-31T13:23:17+00:00,2020-03-31T06:31:50+05:30,2020-03-31T18:53:17+05:30,44487,2026-03-04T01:45:56.469667+05:30
2020-04-01,19.076,72.8777,2020-04-01T01:01:00+00:00,2020-04-01T13:23:32+00:00,2020-04-01T06:31:00+05:30,2020-04-01T18:53:32+05:30,44552,2026-03-04T01:45:56.875590+05:30
2020-04-02,19.076,72.8777,2020-04-02T01:00:10+00:00,2020-04-02T13:23:47+00:00,2020-04-02T06:30:10+05:30,2020-04-02T18:53:47+05:30,44617,2026-03-04T01:45:57.284368+05:30
2020-04-03,19.076,72.8777,2020-04-03T00:59:20+00:00,2020-04-03T13:24:01+00:00,2020-04-03T06:29:20+05:30,2020-04-03T18:54:01+05:30,44681,2026-03-04T01:45:57.695955+05:30
2020-04-04,19.076,72.8777,2020-04-04T00:58:30+00:00,2020-04-04T13:24:16+00:00,2020-04-04T06:28:30+05:30,2020-04-04T18:54:16+05:30,44746,2026-03-04T01:45:58.111925+05:30
2020-04-05,19.076,72.8777,2020-04-05T00:57:41+00:00,2020-04-05T13:24:31+00:00,2020-04-05T06:27:41+05:30,2020-04-05T18:54:31+05:30,44810,2026-03-04T01:45:58.519378+05:30
2020-04-06,19.076,72.8777,2020-04-06T00:56:52+00:00,2020-04-06T13:24:46+00:00,2020-04-06T06:26:52+05:30,2020-04-06T18:54:46+05:30,44874,2026-03-04T01:45:58.924390+05:30
2020-04-07,19.076,72.8777,2020-04-07T00:56:03+00:00,2020-04-07T13:25:01+00:00,2020-04-07T06:26:03+05:30,2020-04-07T18:55:01+05:30,44938,2026-03-04T01:45:59.340385+05:30
2020-04-08,19.076,72.8777,2020-04-08T00:55:15+00:00,2020-04-08T13:25:16+00:00,2020-04-08T06:25:15+05:30,2020-04-08T18:55:16+05:30,45001,2026-03-04T01:45:59.756547+05:30
2020-04-09,19.076,72.8777,2020-04-09T00:54:27+00:00,2020-04-09T13:25:32+00:00,2020-04-09T06:24:27+05:30,2020-04-09T18:55:32+05:30,45065,2026-03-04T01:46:00.163109+05:30
2020-04-10,19.076,72.8777,2020-04-10T00:53:39+00:00,2020-04-10T13:25:47+00:00,2020-04-10T06:23:39+05:30,2020-04-10T18:55:47+05:30,45128,2026-03-04T01:46:00.579426+05:30
2020-04-11,19.076,72.8777,2020-04-11T00:52:52+00:00,2020-04-11T13:26:03+00:00,2020-04-11T06:22:52+05:30,2020-04-11T18:56:03+05:30,45191,2026-03-04T01:46:00.991996+05:30
2020-04-12,19.076,72.8777,2020-04-12T00:52:05+00:00,2020-04-12T13:26:19+00:00,2020-04-12T06:22:05+05:30,2020-04-12T18:56:19+05:30,45254,2026-03-04T01:46:01.415459+05:30
2020-04-13,19.076,72.8777,2020-04-13T00:51:19+00:00,2020-04-13T13:26:35+00:00,2020-04-13T06:21:19+05:30,2020-04-13T18:56:35+05:30,45316,2026-03-04T01:46:01.824583+05:30
2020-04-14,19.076,72.8777,2020-04-14T00:50:33+00:00,2020-04-14T13:26:51+00:00,2020-04-14T06:20:33+05:30,2020-04-14T18:56:51+05:30,45378,2026-03-04T01:46:03.245921+05:30
2020-04-15,19.076,72.8777,2020-04-15T00:49:47+00:00,2020-04-15T13:27:07+00:00,2020-04-15T06:19:47+05:30,2020-04-15T18:57:07+05:30,45440,2026-03-04T01:46:03.648973+05:30
2020-04-16,19.076,72.8777,2020-04-16T00:49:02+00:00,2020-04-16T13:27:24+00:00,2020-04-16T06:19:02+05:30,2020-04-16T18:57:24+05:30,45502,2026-03-04T01:46:04.055667+05:30
2020-04-17,19.076,72.8777,2020-04-17T00:48:18+00:00,2020-04-17T13:27:41+00:00,2020-04-17T06:18:18+05:30,2020-04-17T18:57:41+05:30,45563,2026-03-04T01:46:04.460216+05:30
2020-04-18,19.076,72.8777,2020-04-18T00:47:34+00:00,2020-04-18T13:27:58+00:00,2020-04-18T06:17:34+05:30,2020-04-18T18:57:58+05:30,45624,2026-03-04T01:46:04.866550+05:30
2020-04-19,19.076,72.8777,2020-04-19T00:46:51+00:00,2020-04-19T13:28:15+00:00,2020-04-19T06:16:51+05:30,2020-04-19T18:58:15+05:30,45684,2026-03-04T01:46:05.279136+05:30
2020-04-20,19.076,72.8777,2020-04-20T00:46:08+00:00,2020-04-20T13:28:32+00:00,2020-04-20T06:16:08+05:30,2020-04-20T18:58:32+05:30,45744,2026-03-04T01:46:05.685345+05:30
2020-04-21,19.076,72.8777,2020-04-21T00:45:26+00:00,2020-04-21T13:28:50+00:00,2020-04-21T06:15:26+05:30,2020-04-21T18:58:50+05:30,45804,2026-03-04T01:46:06.097428+05:30
2020-04-22,19.076,72.8777,2020-04-22T00:44:45+00:00,2020-04-22T13:29:08+00:00,2020-04-22T06:14:45+05:30,2020-04-22T18:59:08+05:30,45863,2026-03-04T01:46:06.504564+05:30
2020-04-23,19.076,72.8777,2020-04-23T00:44:04+00:00,2020-04-23T13:29:26+00:00,2020-04-23T06:14:04+05:30,2020-04-23T18:59:26+05:30,45922,2026-03-04T01:46:06.912258+05:30
2020-04-24,19.076,72.8777,2020-04-24T00:43:24+00:00,2020-04-24T13:29:45+00:00,2020-04-24T06:13:24+05:30,2020-04-24T18:59:45+05:30,45981,2026-03-04T01:46:07.318988+05:30
2020-04-25,19.076,72.8777,2020-04-25T00:42:45+00:00,2020-04-25T13:30:04+00:00,2020-04-25T06:12:45+05:30,2020-04-25T19:00:04+05:30,46039,2026-03-04T01:46:07.736719+05:30
2020-04-26,19.076,72.8777,2020-04-26T00:42:06+00:00,2020-04-26T13:30:23+00:00,2020-04-26T06:12:06+05:30,2020-04-26T19:00:23+05:30,46097,2026-03-04T01:46:08.174807+05:30
2020-04-27,19.076,72.8777,2020-04-27T00:41:28+00:00,2020-04-27T13:30:42+00:00,2020-04-27T06:11:28+05:30,2020-04-27T19:00:42+05:30,46154,2026-03-04T01:46:08.583467+05:30
2020-04-28,19.076,72.8777,2020-04-28T00:40:51+00:00,2020-04-28T13:31:01+00:00,2020-04-28T06:10:51+05:30,2020-04-28T19:01:01+05:30,46210,2026-03-04T01:46:08.989579+05:30
2020-04-29,19.076,72.8777,2020-04-29T00:40:15+00:00,2020-04-29T13:31:21+00:00,2020-04-29T06:10:15+05:30,2020-04-29T19:01:21+05:30,46266,2026-03-04T01:46:09.402780+05:30
2020-04-30,19.076,72.8777,2020-04-30T00:39:39+00:00,2020-04-30T13:31:41+00:00,2020-04-30T06:09:39+05:30,2020-04-30T19:01:41+05:30,46322,2026-03-04T01:46:09.809116+05:30
2020-05-01,19.076,72.8777,2020-05-01T00:39:05+00:00,2020-05-01T13:32:01+00:00,2020-05-01T06:09:05+05:30,2020-05-01T19:02:01+05:30,46376,2026-03-04T01:46:10.228829+05:30
2020-05-02,19.076,72.8777,2020-05-02T00:38:31+00:00,2020-05-02T13:32:22+00:00,2020-05-02T06:08:31+05:30,2020-05-02T19:02:22+05:30,46431,2026-03-04T01:46:10.641851+05:30
2020-05-03,19.076,72.8777,2020-05-03T00:37:58+00:00,2020-05-03T13:32:43+00:00,2020-05-03T06:07:58+05:30,2020-05-03T19:02:43+05:30,46485,2026-03-04T01:46:11.062362+05:30
2020-05-04,19.076,72.8777,2020-05-04T00:37:26+00:00,2020-05-04T13:33:04+00:00,2020-05-04T06:07:26+05:30,2020-05-04T19:03:04+05:30,46538,2026-03-04T01:46:11.512496+05:30
2020-05-05,19.076,72.8777,2020-05-05T00:36:54+00:00,2020-05-05T13:33:25+00:00,2020-05-05T06:06:54+05:30,2020-05-05T19:03:25+05:30,46591,2026-03-04T01:46:11.919051+05:30
